"x"
0.8223
4.058
8.085
8.085
2.668
0.8136
3.092
1.732
0.7731
4.651
0.4351
1.045
5.076
0.793
0.1422
0.91
0.2662
1.921
0.7519
1.327
1.165
1.143
0.7714
0.07061
0.5545
1.442
1.271
1.739
0.902
1.471
1.178
1.105
2.133
1.386
1.343
1.847
1.853
1.2
0.5493
0.7215
0.6592
5.004
2.042
1.332
1.985
1.256
4.013
1.703
1.606
0.6803
1.762
2.764
1.409
1.558
0.6783
1.942
2.239
1.358
1.654
0.164
0.3718
0.7468
0.6554
0.5226
2.841
5.045
4.215
4.215
1.087
1.618
6.587
9.187
