"x"
17.03
15.85
19.65
19.65
18.61
15.44
18.55
19.63
16.55
16.91
14.13
17.8
21.25
15.6
15.34
17.2
12.16
18.02
16.15
21.1
19.56
17.03
17.92
17.38
14.44
19.02
19.99
20.51
20.47
20.33
19.97
19.75
20.03
20.78
19.57
20.44
20.5
16.63
17.68
19.25
18.27
16.91
16.41
19.83
18.79
18.96
14.81
15.71
15.97
15.07
14.74
18.9
18.47
18.95
18.8
17.27
17.64
16.41
17.87
9.93
12.6
14.56
14.71
12.84
17.47
18.85
17.85
17.85
18.25
20.61
20.52
21.41
