"x"
0.62
0.89
0.95
0.95
1.6
0.82
1.32
2.27
1.08
0.77
1.48
1.64
0.87
1.27
1.68
0.72
0.42
0.95
1.04
0.59
0.96
1.15
1.13
2.47
0.43
0.99
0.57
1.25
2
1.14
0.64
1.73
0.85
1
1.22
1.15
1.07
2.33
1.89
1.23
1.07
0.77
0.67
0.62
0.54
1.04
1.19
0.67
0.47
1.51
0.97
0.99
1.09
1.18
0.8
0.35
0.68
1.82
0.45
0.26
0.5
0.66
0.42
0.4
1.37
2.36
1.46
1.46
0.85
0.85
1.11
0.46
