"x"
20
13
22
22
9.5
14
10
3.5
26
33
70
9
35
17
12
43
76
25
23
10
9
9
17
14
25
8
32
22
20
26
20
8
14
4
17.5
10.5
8
17
3.5
18
15
24
60
9
9
9
19
18.4
34
17
8
8
7
20
30
33
32
18
60
46
70
70
27
13
20
12.1
16
16
45
5.5
14
14
