"Latitude" "Longitude" "Altitude" "Area" "Depth" "Temperature" "Secchi" "O2" "CO2" "CH4" "N2O" "pH" "TIC" "TOC" "TN" "TP" "NO3" "SiO2" "PO4" "PON" "POC" "POP" "Chla" "APA" "KdPAR" "PPA" "a.phyto.m" "a.dom.m" "a.tripton.m" "tot.phyto" "f.hetero" "esd" "car.chl" "G" "ZDW" "Zoopl.species" "Copepods" "Cladocera" "Fish.species" "C.P..at." "C.P.calc"
58.97833 12.11388 102 1.76 25 18.02 2.8 0.880585865 1.680592731 31.02431228 1.082127621 7.205 1.921 7.619 0.3663 2.35 73.1 2951 -1 44.24 292 4 4.5 38.71 0.95 409.93 0.09 1.56 0.04 0.314324366 0.018110464 9.901357363 0.183085502 44 11.17 14 6 8 14 188.6230853 188.5833333
62.14053 6.11847 47 1.4 23 16.15 5 0.894995545 2.240722339 24.53246094 1.147945383 6.74 0.7519 3.427 0.1704 2.55 31.45 2207 -1 23 120 2.3 1.65 15.71 1.07 255.27 0.05 0.76 0.03 0.11638592 0.005312584 13.02321585 0.170018282 25 44.18 6 3 3 4 133.8800828 134.7826087
59.62987 13.39677 63 32.03 10 21.1 4.05 0.894112435 0.738631449 17.0693462 1.096601667 7.195 1.327 4.859 0.2454 6 1.15 1029 2 62.65 335 4.9 2.67 26.51 0.59 268.95 0.04 0.39 0.09 0.23930636 0.052538365 9.626534613 0.156592546 41 42.09 14 5 9 12 175.6331872 176.6156463
60.03387 14.13738 239 2.73 9 19.56 2.4 0.802300707 1.937118477 37.50788739 1.091504672 7.02 1.165 7.6015 0.222 5.85 0.85 4037 2 37.84 278 4.1 3.64 30.37 0.96 229.89 0.06 1.1 0.13 0.386986225 0.037968509 14.67610066 0.23755717 41 17.35 10 3 7 8 176.5165813 175.1626016
60.82357 12.50752 490 2.74 9 17.03 2 0.819882213 2.398775802 14.08840271 1.132258073 7.005 1.143 7.365 0.2159 3.2 22.2 3163 2 24.57 203 4.7 1.75 11.69 1.15 122.09 0.04 1.84 0.13 0.12605576 0.104156883 7.10124487 0.145519077 23 80.65 9 3 6 3 111.7640639 111.5780142
60.91878 12.96573 431 27.05 17 17.92 2.15 0.879263421 1.554934789 35.00738721 1.09774677 6.88 0.7714 6.525 0.2106 4.55 11.35 3047 2 49.8 411 4.7 4.3 32.8 1.13 118.27 0.04 1.14 0.19 0.508814636 0.039299302 11.16431235 0.215159458 45 28.29 8 4 4 7 225.686656 225.9042553
60.86397 12.3111 299 5.18 14 17.38 1 0.74015838 5.038107885 28.14437448 1.195595946 5.41 0.07061 12.275 0.2693 5.8 6.5 4151 1 50.41 569 4.9 1.79 5.43 2.47 322.43 0.23 3.83 0.26 0.16846739 0.061619522 8.984056129 0.179166667 25 22.31 7 3 4 7 301.9252124 299.9829932
62.15305 6.22862 90 2.05 25 14.44 7 0.923943553 1.733008253 24.43645584 1.22781039 6.66 0.5545 1.3135 0.1668 4.7 65.65 1440 2 28.86 139 2.9 2.12 5.75 0.43 539.59 0.05 0.49 0.02 0.25270162 0.011644722 10.83841677 0.236453202 20 42.7 5 1 4 4 125.8264314 123.8218391
60.14628 13.27153 212 4.51 8 19.02 2.2 0.745654075 2.536026777 18.89202685 1.119881746 7.035 1.442 9.409 0.2441 5.25 13.2 4654 -1 59.11 365 4.1 3.34 29.9 0.99 590.89 0.07 1.96 0.13 0.41037118 0.046671979 16.20428133 0.192528736 44 22.07 12 3 9 7 230.2542945 229.9796748
59.72432 14.6065 181 15.54 32 19.99 2.8 0.873835926 0.835683993 8.024583396 1.443587849 7.11 1.271 7.2185 0.2929 5.85 73.75 4475 -1 30.25 223 3.1 2.72 23.6 0.57 496.15 0.07 1.41 0.06 0.265001561 0.024321362 10.67195501 0.203431373 46 21.6 14 6 8 11 185.9997844 185.8333333
